city_name;city_slug;city_regions;city_eng;city_padej1;city_padej2;city_padej3;city_phone;city_address
Москва;moskva;Москва;;;;;
Воронеж;voronezh;Воронежская область;;;;;
Шахты;shakhty;Ростовская область;;;;;
Астрахань;astrahan;Астраханская область;;;;;
Барнаул;barnaul;Алтайский край;;;;;
Белгород;belgorod;Белгородская область;;;;;
Брянск;bryansk;Брянская область;;;;;
Чебоксары;cheboksary;Чувашская Республика;;;;;
Челябинск;chelyabinsk;Челябинская область;;;;;
Чита;chita;Забайкальский край;;;;;
Екатеринбург;ekaterinburg;Свердловская область;;;;;
Хабаровск;habarovsk;Хабаровский край;;;;;
Иркутск;irkutsk;Иркутская область;;;;;
Ижевск;izhevsk;Удмуртская Республика;;;;;
Калининград;kaliningrad;Калининградская область;;;;;
Казань;kazan;Республика Татарстан;;;;;
Кемерово;kemerovo;Кемеровская область;;;;;
Киров;kirov;Кировская область;;;;;
Краснодар;krasnodar;Краснодарский край;;;;;
Красноярск;krasnoyarsk;Красноярский край;;;;;
Крым;krym;Республика Крым;;;;;
Курск;kursk;Курская область;;;;;
Липецк;lipetsk;Липецкая область;;;;;
Магнитогорск;magnitogorsk;Челябинская область;;;;;
Махачкала;mahachkala;Республика Дагестан;;;;;
Мариуполь;mariupol;Донецкая Народная Республика;;;;;
Набережные Челны;naberezhnye-chelny;Республика Татарстан;;;;;
Нижний Новгород;nizhny-novgorod;Нижегородская область;;;;;
Новокузнецк;novokuznetsk;Кемеровская область;;;;;
Новороссийск;novorossisk;Краснодарский край;;;;;
Новосибирск;novosibirsk;Новосибирская область;;;;;
Омск;omsk;Омская область;;;;;
Оренбург;orenburg;Оренбургская область;;;;;
Пенза;penza;Пензенская область;;;;;
Пермь;perm;Пермский край;;;;;
Рязань;ryazan;Рязанская область;;;;;
Самара;samara;Самарская область;;;;;
Саратов;saratov;Саратовская область;;;;;
Севастополь;sevastopol;Севастополь;;;;;
Симферополь;simferopol;Республика Крым;;;;;
Смоленск;smolensk;Смоленская область;;;;;
Сочи;sochi;Краснодарский край;;;;;
Санкт-Петербург;spb;Санкт-Петербург;;;;;
Ставрополь;stavropol;Ставропольский край;;;;;
Таганрог;taganrog;Ростовская область;;;;;
Тольятти;toliatti;Самарская область;;;;;
Томск;tomsk;Томская область;;;;;
Тула;tula;Тульская область;;;;;
Тюмень;tyumen;Тюменская область;;;;;
Уфа;ufa;Республика Башкортостан;;;;;
Улан-Удэ;ulan-ude;Республика Бурятия;;;;;
Ульяновск;ulianovsk;Ульяновская область;;;;;
Владикавказ;vladikavkaz;Республика Северная Осетия - Алания;;;;;
Волгоград;volgograd;Волгоградская область;;;;;
Ярославль;yaroslavl;Ярославская область;;;;;
Донецк;doneck;Донецкая Народная Республика;;;;;
Ростов-на-Дону;rostov;Ростовская область;;;;;
Новочеркасск;novocherkassk;Ростовская область;;;;;
Новошахтинск;novoshahtinsk;Ростовская область;;;;;
Каменск-Шахтинский;kamensk-shahtinskij;Ростовская область;;;;;
Волгодонск;volgodonsk;Ростовская область;;;;;
Азов;azov;Ростовская область;;;;;
Батайск;batajsk;Ростовская область;;;;;
Гуково;gukovo;Ростовская область;;;;;
Армавир;armavir;Краснодарский край;;;;;
Анапа;anapa;Краснодарский край;;;;;
Ейск;ejsk;Краснодарский край;;;;;
Геленджик;gelendzhik;Краснодарский край;;;;;
Кропоткин;kropotkin;Краснодарский край;;;;;
Славянск-на-Кубани;slavyansk-na-kubani;Краснодарский край;;;;;
Лабинск;labinsk;Краснодарский край;;;;;
Балашиха;balashiha;Московская область;;;;;
Подольск;podolsk;Московская область;;;;;
Мытищи;mytishchi;Московская область;;;;;
Химки;himki;Московская область;;;;;
Люберцы;lyubercy;Московская область;;;;;
Королев;korolev;Московская область;;;;;
Красногорск;krasnogorsk;Московская область;;;;;
Одинцово;odincovo;Московская область;;;;;
Домодедово;domodedovo;Московская область;;;;;
Электросталь;elektrostal;Московская область;;;;;
Щелково;shchelkovo;Московская область;;;;;
Коломна;kolomna;Московская область;;;;;
Раменское;ramenskoe;Московская область;;;;;
Сургут;surgut;Ханты-Мансийский автономный округ - Югра;;;;;
Волжский;volzhskij;Волгоградская область;;;;;
