ID;city_name;city_slug;city_regions;city_eng;city_padej1;city_padej2;city_padej3;city_phone;belingogeopro_excluded_cities
553;Нефтеюганск;nefteyugansk;"Ханты-Мансийский автономный округ - Югра";;в Нефтеюганске;в Нефтеюганск;из Нефтеюганска;;Array
552;Каспийск;kaspijsk;"Республика Дагестан";;в Каспийске;в Каспийск;из Каспийска;;Array
551;Назрань;nazran;"Республика Ингушетия";;в Назрани;в Назрань;из Назрани;;Array
550;Кисловодск;kislovodsk;"Ставропольский край";;в Кисловодске;в Кисловодск;из Кисловодска;;Array
549;Нефтекамск;neftekamsk;"Республика Башкортостан";;в Нефтекамске;в Нефтекамск;из Нефтекамска;;Array
548;Находка;naxodka;"Приморский край";;в Находке;в Находку;из Находки;;Array
547;Майкоп;majkop;"Республика Адыгея";;в Майкопе;в Майкоп;из Майкопа;;Array
546;Пятигорск;pyatigorsk;"Ставропольский край";;в Пятигорске;в Пятигорск;из Пятигорска;;Array
545;Копейск;kopejsk;"Челябинская область";;в Копейске;в Копейск;из Копейска;;Array
544;Миасс;miass;"Челябинская область";;в Миассе;в Миасс;из Миасса;;Array
543;Салават;salavat;"Республика Башкортостан";;в Салавате;в Салават;из Салавата;;Array
542;Северодвинск;severodvinsk;"Архангельская область";;в Северодвинске;в Северодвинск;из Северодвинска;;Array
541;Сызрань;syzran;"Самарская область";;в Сызрани;в Сызрань;из Сызрани;;Array
540;Норильск;norilsk;"Красноярский край";;в Норильске;в Норильск;из Норильска;;Array
539;Рыбинск;rybinsk;"Ярославская область";;в Рыбинске;в Рыбинск;из Рыбинска;;Array
538;Прокопьевск;prokopevsk;"Кемеровская область";;в Прокопьевске;в Прокопьевск;из Прокопьевска;;Array
537;Уссурийск;ussurijsk;"Приморский край";;в Уссурийске;в Уссурийск;из Уссурийска;;Array
536;Бийск;bijsk;"Алтайский край";;в Бийске;в Бийск;из Бийска;;Array
535;Балаково;balakovo;"Саратовская область";;в Балаково;в Балаково;из Балаково;;Array
534;Абакан;abakan;"Республика Хакасия";;в Абакане;в Абакан;из Абакана;;Array
533;Орск;orsk;"Оренбургская область";;в Орске;в Орск;из Орска;;Array
532;Дзержинск;dzerzhinsk;"Нижегородская область";;в Дзержинске;в Дзержинск;из Дзержинска;;Array
531;Ангарск;angarsk;"Иркутская область";;в Ангарске;в Ангарск;из Ангарска;;Array
530;"Старый Оскол";staryj-oskol;"Белгородская область";;в Старом Осколе;в Старый Оскол;из Старого Оскола;;Array
529;Братск;bratsk;"Иркутская область";;в Братске;в Братск;из Братска;;Array
528;Энгельс;engels;"Саратовская область";;в Энгельсе;в Энгельс;из Энгельса;;Array
527;Петрозаводск;petrozavodsk;"Республика Карелия";;в Петрозаводске;в Петрозаводск;из Петрозаводска;;Array
526;Комсомольск-на-Амуре;komsomolsk-na-amure;"Хабаровский край";;в Комсомольске-на-Амуре;в Комсомольск-на-Амуре;из Комсомольска-на-Амуре;;Array
525;Благовещенск;blagoveshhensk;"Амурская область";;в Благовещенске;в Благовещенск;из Благовещенска;;Array
